Traffic Volume Count Location  Address,Street,Latitude,Longitude,Location,Vehicle Volume By Each Direction of Traffic
9150 South,Harbor Ave,41.729262,-87.541841,"(41.729262, -87.541841)",North Bound: 1100 / South Bound: 1400
8930 South,Mackinaw Ave,41.732854,-87.542962,"(41.732854, -87.542962)",North Bound: 5800 / South Bound: 8000
7206 South,Yates Blvd,41.764222,-87.566483,"(41.764222, -87.566483)",North Bound: 6300 / South Bound: 6200
2237 West,63rd Street,41.779224,-87.680473,"(41.779224, -87.680473)",East Bound: 8700 / West Bound: 9300
1445 West,63rd Street,41.779519,-87.661134,"(41.779519, -87.661134)",East Bound: 5600 / West Bound: 5200
519 West,63rd St,41.779852,-87.638388,"(41.779852, -87.638388)",East Bound: 3900 / West Bound: 4100
120 East,63rd St,41.780078,-87.621062,"(41.780078, -87.621062)",East Bound: 7800 / West Bound: 4600
642 East,67th St,41.773084,-87.608939,"(41.773084, -87.608939)",East Bound: 6100 / West Bound: 6500
1440 East,67th St,41.773298,-87.589932,"(41.773298, -87.589932)",East Bound: 4500 / West Bound: 4700
1733 East,67th St,41.773376,-87.582603,"(41.773376, -87.582603)",East Bound: 4700 / West Bound: 5600
175 West,75th Street,41.758155,-87.629625,"(41.758155, -87.629625)",East Bound: 7200 / West Bound: 10400
46 East,75th St,41.758265,-87.622945,"(41.758265, -87.622945)",East Bound: 5900 / West Bound: 5800
504 East,75th St,41.758455,-87.612457,"(41.758455, -87.612457)",East Bound: 8500 / West Bound: 7600
1744 East,75th St,41.758814,-87.581651,"(41.758814, -87.581651)",East Bound: 6300 / West Bound: 6800
1908 West,76th Street,41.755721,-87.671249,"(41.755721, -87.671249)",East Bound: 3700 / West Bound: 4300
718 West,76th Street,41.756101,-87.642566,"(41.756101, -87.642566)",East Bound: 7800 / West Bound: 7600
320 East,76th St,41.756542,-87.617335,"(41.756542, -87.617335)",East Bound: 3800 / West Bound: 4800
448 East,76th St,41.756617,-87.613108,"(41.756617, -87.613108)",East Bound: 4300 / West Bound: 5000
1716 East,76th St,41.756982,-87.582699,"(41.756982, -87.582699)",East Bound: 4300 / West Bound: 4300
2830 West,79th Street,41.749936,-87.695059,"(41.749936, -87.695059)",East Bound: 20600 / West Bound: 12700
1344 West,79th Street,41.750449,-87.657022,"(41.750449, -87.657022)",East Bound: 9500 / West Bound: 7800
1055 West,79th Street,41.750534,-87.651099,"(41.750534, -87.651099)",East Bound: 9500 / West Bound: 8100
540 West,79th Street,41.750722,-87.638461,"(41.750722, -87.638461)",East Bound: 10500 / West Bound: 8700
20 East,79th St,41.75097,-87.623726,"(41.75097, -87.623726)",East Bound: 11300 / West Bound: 9400
65 East,79th St,41.750997,-87.621988,"(41.750997, -87.621988)",East Bound: 9400 / West Bound: 8200
850 East,79th St,41.75131,-87.603145,"(41.75131, -87.603145)",East Bound: 7300 / West Bound: 9000
2726 East,79th St,41.751849,-87.557322,"(41.751849, -87.557322)",East Bound: 5100 / West Bound: 6300
